Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
6337d8407a96c8c253c82e28,5ffb6a7ad424e65d160a44ea,APPROVED,2022-10-01T06:04:33.369000Z,2022-10-01T06:21:52.154000Z,2022-10-01T06:21:52.540000Z,2022-10-01T06:21:52.480134Z,1039.0,CSWUVDXK,421,1.0,100.0,English,31,Female,Asian,Vietnam,United States,United States,English,Yes,Other,
6337d89d80b3ce70151661b6,6150b569f783a47ea40a79a4,APPROVED,2022-10-01T06:05:22.606000Z,2022-10-01T06:28:09.965000Z,2022-10-01T06:28:10.604000Z,2022-10-01T06:28:10.548298Z,1368.0,CSWUVDXK,492,0.0,100.0,English,41,Male,Other,Puerto Rico,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6337f7d0f398f7dbee2134be,5d100e740277ff00152f7562,RETURNED,2022-10-01T08:18:26.723000Z,,,2025-09-03T08:57:02.200951Z,,,7931,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6337fc33dd1225fcc64da8e5,630a8feaa8eef385f72dc1a5,APPROVED,2022-10-01T08:37:10.681000Z,2022-10-01T09:34:48.153000Z,2022-10-01T09:34:48.653000Z,2022-10-01T09:34:48.584388Z,3458.0,CSWUVDXK,167,1.0,100.0,"English, Urdu",34,Male,Asian,Pakistan,United States,United States,English,No,Full-Time,
6338026e569900fa976ffcc4,5fa4f94e535f3b1aa628e0ab,APPROVED,2022-10-01T09:03:42.117000Z,2022-10-01T09:21:47.295000Z,2022-10-01T09:21:47.797000Z,2022-10-01T09:21:47.710034Z,1086.0,CSWUVDXK,2327,5.0,100.0,"English, Vietnamese",29,Male,Asian,United States,United States,United States,Vietnamese,DATA_EXPIRED,DATA_EXPIRED,
6338039eb720b118501661e9,6119f072d0cc4321ea520759,APPROVED,2022-10-01T09:08:46.203000Z,2022-10-01T09:25:34.053000Z,2022-10-01T09:25:34.468000Z,2022-10-01T09:25:34.397012Z,1008.0,CSWUVDXK,98,0.0,100.0,English,22,Male,Asian,United States,United States,United States,English,No,Full-Time,
633803fb676ce7f69dce27eb,63162e1bbde3c4bb1d9d92a3,APPROVED,2022-10-01T09:10:22.699000Z,2022-10-01T09:25:20.274000Z,2022-10-01T09:25:20.785000Z,2022-10-01T09:25:20.720729Z,898.0,CSWUVDXK,138,0.0,100.0,English,33,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6338040957b6204003717142,628e5f283594e1a48a04886f,APPROVED,2022-10-01T09:10:46.450000Z,2022-10-01T09:55:10.814000Z,2022-10-01T09:55:11.221000Z,2022-10-01T09:55:11.158234Z,2665.0,CSWUVDXK,842,0.0,100.0,English,31,Male,White,United States,United States,United States,English,No,Part-Time,
633804689cff80dd413d1199,580d5d1f357e890001dd14ce,APPROVED,2022-10-01T09:12:08.974000Z,2022-10-01T09:27:48.731000Z,2022-10-01T09:27:49.170000Z,2022-10-01T09:27:49.111242Z,940.0,CSWUVDXK,3943,10.0,100.0,English,39,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6338048d046f449c39c119df,630fadc5c6bf2f6d623f5775,APPROVED,2022-10-01T09:12:48.328000Z,2022-10-01T09:30:55.226000Z,2022-10-01T09:30:55.610000Z,2022-10-01T09:30:55.545712Z,1087.0,CSWUVDXK,205,1.0,100.0,English,50,Male,White,United States,United States,United States,English,No,Full-Time,
633804a5e9a6e9b26fc410c6,5e3f4c676d06fc1b240e6021,APPROVED,2022-10-01T09:13:15.132000Z,2022-10-01T09:55:24.030000Z,2022-10-01T09:55:24.473000Z,2022-10-01T09:55:24.409890Z,2529.0,CSWUVDXK,3000,29.0,97.0,English,65,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
633804beb67bff3c086b1e0c,5a84f454ae9a0b0001a9e4e5,APPROVED,2022-10-01T09:13:34.782000Z,2022-10-01T09:46:52.377000Z,2022-10-01T09:46:52.813000Z,2022-10-01T09:46:52.749011Z,1998.0,CSWUVDXK,5083,4.0,100.0,English,46,Male,White,United States,United States,United States,English,No,Full-Time,
633804ccc57b0e0c4f4da8e9,5a3bdd2c8d005a0001829f3e,APPROVED,2022-10-01T09:13:48.188000Z,2022-10-01T09:30:12.624000Z,2022-10-01T09:30:13.068000Z,2022-10-01T09:30:13.003784Z,985.0,CSWUVDXK,3394,2.0,100.0,"English, Spanish",31,Male,Other,United States,United States,United States,English,No,Full-Time,
6338056ae228bbee6762b703,63221d55274aef20b4f533b6,APPROVED,2022-10-01T09:16:26.767000Z,2022-10-01T09:28:26.238000Z,2022-10-01T09:28:26.625000Z,2022-10-01T09:28:26.560970Z,720.0,CSWUVDXK,99,1.0,100.0,English,27,Male,Asian,Taiwan,United States,United States,English,No,Full-Time,
633805ed92293121ca8f250b,6040d59712739d02d03c6fb4,APPROVED,2022-10-01T09:19:27.089000Z,2022-10-01T09:57:29.224000Z,2022-10-01T09:57:29.653000Z,2022-10-01T09:57:29.593554Z,2283.0,CSWUVDXK,195,0.0,100.0,English,33,Female,Black,United States,United States,United States,English,No,Full-Time,
6338069b0c989b52373b818f,5f80bc44efa2c013099af460,APPROVED,2022-10-01T09:21:34.599000Z,2022-10-01T10:04:44.140000Z,2022-10-01T10:04:44.679000Z,2022-10-01T10:04:44.615838Z,2590.0,CSWUVDXK,2998,9.0,100.0,English,32,Male,White,United States,United States,United States,English,Yes,Full-Time,
6338077a7207732a0e62b6dc,62cb2fda77bec729c86fbbba,RETURNED,2022-10-01T09:28:27.997000Z,,,2025-09-03T08:57:02.203090Z,,,2065,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
633807b5a4b148e2e3be0205,5f6e2f793c9b1032dbe72def,APPROVED,2022-10-01T09:26:38.964000Z,2022-10-01T09:57:19.014000Z,2022-10-01T09:57:19.417000Z,2022-10-01T09:57:19.360807Z,1841.0,CSWUVDXK,2505,6.0,100.0,English,42,Male,White,United States,United States,United States,English,No,Full-Time,
6338080fbbf7659538628645,60e8b06bfb1c78d450ae9f79,RETURNED,2022-10-01T09:38:00.042000Z,,,2025-09-03T08:57:02.211314Z,,,9875,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63380830c0a56ee76b4da904,5c0dbb9b9166290001253342,APPROVED,2022-10-01T09:28:20.503000Z,2022-10-01T10:29:29.195000Z,2022-10-01T10:29:29.621000Z,2022-10-01T10:29:29.563326Z,3669.0,CSWUVDXK,2689,3.0,100.0,English,47,Male,White,United States,United States,United States,English,No,Full-Time,
63380841f41ba40104be0199,60bd28cc95ab27d4f4f6ada3,RETURNED,2022-10-01T09:28:37.655000Z,,,2025-09-03T08:57:02.205792Z,,,9969,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6338089dcc4f6c4016d6ff36,5eac8b777b60c8129709fc10,RETURNED,2022-10-01T09:30:14.924000Z,,,2025-09-03T08:57:02.208699Z,,,8687,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
633808cd57fc1d17b9068e0b,62fd0bc538d70b87550691f7,APPROVED,2022-10-01T09:30:59.378000Z,2022-10-01T10:14:12.338000Z,2022-10-01T10:14:12.821000Z,2022-10-01T10:14:12.759960Z,2593.0,CSWUVDXK,284,3.0,99.0,English,59,Male,Black,Nigeria,United States,United States,English,Yes,Full-Time,
633808fc7bd5359698c7206b,5898b6e256357700011c2c6b,APPROVED,2022-10-01T09:31:43.777000Z,2022-10-01T09:47:44.651000Z,2022-10-01T09:47:45.141000Z,2022-10-01T09:47:45.075384Z,961.0,CSWUVDXK,3968,61.0,95.0,"English, Spanish",65,Male,White,United States,United States,United States,English,No,Full-Time,
6338091df65bf0b3af8e8b78,631bf96cdf83ffb8f4a7fab8,RETURNED,2022-10-01T09:32:15.663000Z,,,2025-09-03T08:57:02.209171Z,,,3428,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6338096c875f92aac27e8d74,6300a8230671f0e8b0a7b0f4,APPROVED,2022-10-01T09:34:55.436000Z,2022-10-01T10:20:09.914000Z,2022-10-01T10:20:10.367000Z,2022-10-01T10:20:10.301095Z,2715.0,CSWUVDXK,135,1.0,100.0,English,37,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
633809b181b9a951833b81e0,5c365b5e8821900001b3876c,APPROVED,2022-10-01T09:34:43.849000Z,2022-10-01T10:09:12.097000Z,2022-10-01T10:09:12.552000Z,2022-10-01T10:09:12.491918Z,2069.0,CSWUVDXK,3244,6.0,100.0,English,62,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
633809e8abe47abd7e344a60,5d26b1a4c22768000166c809,APPROVED,2022-10-01T09:35:42.399000Z,2022-10-01T09:51:47.833000Z,2022-10-01T09:51:48.307000Z,2022-10-01T09:51:48.224645Z,966.0,CSWUVDXK,1658,17.0,98.0,English,35,Female,White,United States,United States,United States,English,Yes,Part-Time,
63380a6bda5d9f78928f2504,5c6d7db58f6257000148f61d,APPROVED,2022-10-01T09:37:53.382000Z,2022-10-01T10:01:56.167000Z,2022-10-01T10:01:56.597000Z,2022-10-01T10:01:56.543820Z,1443.0,CSWUVDXK,1276,9.0,99.0,English,31,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),
63380ab1ef0fc66a2701596f,57d0badf28d5250001bdd9d2,APPROVED,2022-10-01T09:39:16.050000Z,2022-10-01T09:57:27.216000Z,2022-10-01T09:57:27.633000Z,2022-10-01T09:57:27.570486Z,1092.0,CSWUVDXK,2160,4.0,100.0,English,30,Female,Other,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
63380b3330bd0a183be1d061,6316cc3a5fbb98d30e5e15c3,APPROVED,2022-10-01T09:41:13.082000Z,2022-10-01T10:01:53.715000Z,2022-10-01T10:01:54.204000Z,2022-10-01T10:01:54.138456Z,1241.0,CSWUVDXK,88,0.0,100.0,English,62,Female,White,United States,United States,United States,English,No,Full-Time,
63380bb74e6a878aea68c349,627142805c1992313f79ec55,APPROVED,2022-10-01T09:43:23.783000Z,2022-10-01T10:01:26.582000Z,2022-10-01T10:01:27.009000Z,2022-10-01T10:01:26.945258Z,1083.0,CSWUVDXK,912,2.0,100.0,English,49,Male,Asian,Korea,United States,United States,English,No,Full-Time,
63380bc48a3bdda9505c5495,60367f78082e3dedb8238ea3,APPROVED,2022-10-01T09:43:37.713000Z,2022-10-01T10:09:01.670000Z,2022-10-01T10:09:02.083000Z,2022-10-01T10:09:02.021025Z,1524.0,CSWUVDXK,2427,13.0,99.0,English,76,Female,White,United States,United States,United States,English,No,Full-Time,
63380c03730802c7d9e7ee2e,5cd6c1197b871a0001b13589,APPROVED,2022-10-01T09:44:41.977000Z,2022-10-01T10:21:11.271000Z,2022-10-01T10:21:11.754000Z,2022-10-01T10:21:11.694635Z,2190.0,CSWUVDXK,3162,9.0,100.0,English,61,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63380df9563c6b1c365c54ae,5d29cc8869a747001acdb3c1,APPROVED,2022-10-01T09:53:00.842000Z,2022-10-01T10:17:08.083000Z,2022-10-01T10:17:08.483000Z,2022-10-01T10:17:08.418609Z,1448.0,CSWUVDXK,1408,6.0,99.0,English,43,Female,White,United States,United States,United States,English,No,Full-Time,
63380eddcddd334049ce27f0,62e0532289a4e5d9fedadde1,RETURNED,2022-10-01T09:56:47.602000Z,,,2025-09-03T08:57:02.210300Z,,,10357,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63380ef23bafba0d6cbe01db,60ffae39406f5e4035c8dea0,APPROVED,2022-10-01T09:57:43.958000Z,2022-10-01T10:51:33.690000Z,2022-10-01T10:51:34.083000Z,2022-10-01T10:51:34.022997Z,3230.0,CSWUVDXK,1999,8.0,99.0,English,34,Male,White,United States,United States,United States,English,Yes,Full-Time,
6338117cfe25ba6f9ebda308,5bc3fb6d21f69f00011d9ad2,RETURNED,2022-10-01T10:08:00.112000Z,,,2025-09-03T08:57:02.212101Z,,,2872,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
633811c11d20a4db0f2cbfc6,5e6d8c46f93a0c35d1f82335,APPROVED,2022-10-01T10:09:14.811000Z,2022-10-01T10:33:50.325000Z,2022-10-01T10:33:50.736000Z,2022-10-01T10:33:50.672010Z,1476.0,CSWUVDXK,196,1.0,100.0,English,42,Male,White,United States,United States,United States,English,No,Full-Time,
633811c51459b4b9b33741fb,5dbd597b2d098c2ac14806b2,APPROVED,2022-10-01T10:09:15.782000Z,2022-10-01T10:22:10.645000Z,2022-10-01T10:22:11.190000Z,2022-10-01T10:22:10.949720Z,775.0,CSWUVDXK,1823,6.0,100.0,English,34,Male,White,United States,United States,United States,English,No,Full-Time,
633815f50f9ccb9b4d3449fd,62c97a70d02df972bdfc2718,APPROVED,2022-10-01T10:27:05.577000Z,2022-10-01T10:57:57.440000Z,2022-10-01T10:57:58.049000Z,2022-10-01T10:57:57.980942Z,1852.0,CSWUVDXK,536,0.0,100.0,English,61,Female,White,United States,United States,United States,English,No,Full-Time,
63381aaab4e9721989e1d07f,5fbc23920d22730b85393ead,APPROVED,2022-10-01T10:47:10.842000Z,2022-10-01T11:12:20.876000Z,2022-10-01T11:12:21.250000Z,2022-10-01T11:12:21.189114Z,1511.0,CSWUVDXK,552,1.0,100.0,"Indonesian, Malay, English",32,Female,Asian,United States,United States,United States,English,No,Due to start a new job within the next month,
63381c1f3d3e9f5a32e1d047,5f2042752276432e3a7ef104,APPROVED,2022-10-01T10:56:42.240000Z,2022-10-01T11:29:11.941000Z,2022-10-01T11:29:12.392000Z,2022-10-01T11:29:12.332978Z,1950.0,CSWUVDXK,2430,9.0,100.0,English,41,Female,White,United States,United States,United States,English,No,Full-Time,
63381e2be583e3e10d0a5161,5c3cf0e451c0920001fe604d,APPROVED,2022-10-01T11:02:07.056000Z,2022-10-01T11:23:12.779000Z,2022-10-01T11:23:13.287000Z,2022-10-01T11:23:13.225311Z,1266.0,CSWUVDXK,57,2.0,98.0,"English, French",33,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63381ede0a3c98f3b23b81a2,62926289ad98fad2b2abf44f,APPROVED,2022-10-01T11:05:06.802000Z,2022-10-01T11:37:40.673000Z,2022-10-01T11:37:41.161000Z,2022-10-01T11:37:41.094136Z,1954.0,CSWUVDXK,528,4.0,99.0,English,62,Female,White,United States,United States,United States,English,Yes,Other,
63381fc464570a43dd62b6a9,5a78b8355292b800012284ca,RETURNED,2022-10-01T11:08:55.131000Z,,,2025-09-03T08:57:02.212873Z,,,5528,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63382086aadbf9a7b6ce2827,62b20c43bff1548f37f39746,APPROVED,2022-10-01T11:12:10.825000Z,2022-10-01T11:33:18.903000Z,2022-10-01T11:33:20.170000Z,2022-10-01T11:33:20.105066Z,1269.0,CSWUVDXK,624,0.0,100.0,English,39,Female,White,United States,United States,United States,English,No,Full-Time,
6338209061c507c44d5be851,60ff13037d2dde9da3f054e2,APPROVED,2022-10-01T11:12:18.954000Z,2022-10-01T11:36:32.047000Z,2022-10-01T11:36:32.571000Z,2022-10-01T11:36:32.504503Z,1454.0,CSWUVDXK,576,3.0,99.0,English,36,Male,White,United States,United States,United States,English,No,Full-Time,
633820ee92e5ef19e6213486,5484fd09fdf99b38dfb9645c,APPROVED,2022-10-01T11:13:53.893000Z,2022-10-01T11:31:28.027000Z,2022-10-01T11:31:28.441000Z,2022-10-01T11:31:28.377835Z,1055.0,CSWUVDXK,3648,21.0,99.0,English,34,Female,White,United States,United States,United States,English,No,Full-Time,
633821c09ff2c04aee2cbfb2,6336fecb0b27c43626068e01,APPROVED,2022-10-01T11:17:23.696000Z,2022-10-01T11:35:29.420000Z,2022-10-01T11:35:29.921000Z,2022-10-01T11:35:29.860235Z,1086.0,CSWUVDXK,10,0.0,100.0,English,47,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),
63382207a76ba273533b818e,5d59b01348766d0016949e6a,RETURNED,2022-10-01T11:18:34.210000Z,,,2025-09-03T08:57:02.229869Z,,,1903,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6338229723f75f6a2df71160,6153c8a5e9fa7e4a77a4baee,APPROVED,2022-10-01T11:20:58.313000Z,2022-10-01T11:48:43.065000Z,2022-10-01T11:48:43.483000Z,2022-10-01T11:48:43.417632Z,1665.0,CSWUVDXK,132,0.0,100.0,English,30,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
633823aaca55e8955122cca7,5cb882d33f0af9000159e00f,APPROVED,2022-10-01T11:25:35.302000Z,2022-10-01T11:55:26.288000Z,2022-10-01T11:55:26.886000Z,2022-10-01T11:55:26.824912Z,1791.0,CSWUVDXK,3919,21.0,98.0,English,60,Female,White,United States,United States,United States,English,No,Full-Time,
63382512e477d719c72134bf,611131e47725f6a04c723651,APPROVED,2022-10-01T11:31:33.618000Z,2022-10-01T12:02:24.527000Z,2022-10-01T12:02:25.022000Z,2022-10-01T12:02:24.936470Z,1851.0,CSWUVDXK,1146,0.0,100.0,"English, Spanish",27,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
63382635e3783642cbca7148,57c2f3ed0c656b00019c5988,RETURNED,2022-10-01T11:36:36.548000Z,,,2025-09-03T08:57:02.216112Z,,,1935,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
