"item","n","percent_agreement"
"virtue01",6,0.5
"deontology09",7,0.571428571428571
"contractualist03",8,0.75
"deontology01",8,0.75
"deontology02",8,0.75
"contractualist02",6,0.833333333333333
"hedonism02",6,0.833333333333333
"contractualist01",7,0.857142857142857
"deontology03",7,0.857142857142857
"hedonism03",7,0.857142857142857
"utilitarian01",7,0.857142857142857
"deontology07",8,0.875
"hedonism07",8,0.875
"hedonism01",9,0.888888888888889
"contractualist04",6,1
"contractualist06",8,1
"deontology04",8,1
"deontology05",7,1
"deontology08",9,1
"hedonism08",8,1
"virtue09",8,1
