sample_id,llm_code,llm_raw
S126,Understood,Not Understood
S006,Understood,Partially Understood
S131,Understood,Not Understood
S001,Understood,Partially Understood
S095,Understood,Partially Understood
S019,Understood,Not Understood
S116,Understood,Partially Understood
S052,Understood,Partially Understood
S132,Understood,Not Understood
S081,Understood,Not Understood
S137,Understood,Not Understood
S016,Understood,Not Understood
S113,Understood,Not Understood
S056,Understood,Partially Understood
S053,Understood,Understood
S036,Understood,Understood
S097,Understood,Partially Understood
S136,Understood,Not Understood
S149,Understood,Understood
S043,Understood,Partially Understood
S040,Understood,Partially Understood
S044,Understood,Partially Understood
S035,Understood,Partially Understood
S062,Understood,Understood
S077,Understood,Partially Understood
S014,Understood,Partially Understood
S133,Understood,Understood
S005,Understood,Partially Understood
S026,Understood,Not Understood
S015,Understood,Partially Understood
S090,Understood,Not Understood
S074,Understood,Not Understood
S008,Understood,Partially Understood
S067,Understood,Understood
S004,Understood,Partially Understood
S150,Understood,Understood
S061,Understood,Partially Understood
S117,Understood,Not Understood
S101,Understood,Understood
S145,Understood,Understood
S088,Understood,Not Understood
S018,Understood,Partially Understood
S054,Understood,Partially Understood
S070,Understood,Not Understood
S148,Understood,Understood
S068,Understood,Understood
S086,Understood,Partially Understood
S023,Understood,Not Understood
S110,Understood,Partially Understood
S105,Understood,Understood
S140,Understood,Not Understood
S076,Understood,Partially Understood
S075,Understood,Partially Understood
S082,Understood,Understood
S085,Understood,Partially Understood
S025,Understood,Partially Understood
S010,Understood,Not Understood
S080,Understood,Understood
S065,Understood,Not Understood
S041,Understood,Understood
S047,Understood,Not Understood
S073,Understood,Partially Understood
S013,Understood,Understood
S051,Understood,Not Understood
S135,Understood,Partially Understood
S152,Understood,Understood
S012,Understood,Partially Understood
S146,Understood,Partially Understood
S119,Understood,Understood
S109,Understood,Not Understood
S022,Understood,Partially Understood
S002,Understood,Understood
S130,Understood,Not Understood
S115,Understood,Not Understood
S100,Understood,Understood
S060,Understood,Partially Understood
S155,Understood,Understood
S093,Understood,Partially Understood
S059,Understood,Not Understood
S143,Understood,Partially Understood
S055,Understood,Understood
S045,Understood,Not Understood
S102,Understood,Understood
S024,Understood,Not Understood
S038,Understood,Understood
S121,Understood,Not Understood
S154,Understood,Not Understood
S107,Understood,Understood
S028,Understood,Partially Understood
S029,Understood,Not Understood
S083,Understood,Partially Understood
S058,Understood,Understood
S042,Understood,Not Understood
S089,Understood,Not Understood
S108,Understood,Understood
S129,Understood,Understood
S142,Understood,Not Understood
S039,Understood,Understood
S030,Understood,Understood
S057,Understood,Understood
S050,Understood,Understood
S078,Understood,Partially Understood
S104,Understood,Understood
S079,Understood,Understood
S103,Understood,Understood
S144,Understood,Partially Understood
S123,Understood,Not Understood
S069,Understood,Partially Understood
S031,Understood,Not Understood
S127,Understood,Understood
S099,Understood,Partially Understood
S017,Understood,Not Understood
S007,Understood,Partially Understood
S153,Understood,Not Understood
S111,Understood,Understood
S011,Understood,Partially Understood
S139,Understood,Not Understood
S034,Understood,Understood
S048,Understood,Partially Understood
S003,Understood,Partially Understood
S106,Understood,Not Understood
S112,Understood,Understood
S141,Understood,Understood
S021,Understood,Not Understood
S049,Understood,Partially Understood
S037,Understood,Not Understood
S120,Understood,Understood
S087,Understood,Partially Understood
S114,Understood,Understood
S066,Understood,Understood
S147,Understood,Understood
S046,Understood,Partially Understood
S098,Understood,Not Understood
S020,Understood,Not Understood
S072,Understood,Understood
S032,Understood,Partially Understood
S092,Understood,Partially Understood
S096,Understood,Partially Understood
S118,Understood,Not Understood
S009,Understood,Partially Understood
S064,Understood,Partially Understood
S027,Understood,Partially Understood
S033,Understood,Not Understood
S124,Understood,Not Understood
S091,Understood,Not Understood
S084,Understood,Understood
S094,Understood,Partially Understood
S138,Understood,Not Understood
S151,Understood,Understood
S128,Understood,Partially Understood
S122,Understood,Partially Understood
S063,Understood,Understood
S071,Understood,Not Understood
S125,Understood,Not Understood
S156,Understood,Partially Understood
S134,Understood,Understood
