"item","n_responses","full_vocab_size","near_saturation_k","near_saturation_pct_of_N"
"contractualist01",30,285,27,0.9
"contractualist02",24,303,22,0.917
"contractualist03",33,452,29,0.879
"contractualist04",23,248,21,0.913
"contractualist06",32,410,28,0.875
"deontology01",33,435,29,0.879
"deontology02",33,401,29,0.879
"deontology03",30,331,27,0.9
"deontology04",32,415,28,0.875
"deontology05",29,309,26,0.897
"deontology07",32,317,28,0.875
"deontology08",38,489,33,0.868
"deontology09",29,489,26,0.897
"hedonism01",40,481,35,0.875
"hedonism02",24,287,21,0.875
"hedonism03",30,351,26,0.867
"hedonism07",32,368,28,0.875
"hedonism08",32,392,28,0.875
"utilitarian01",28,309,25,0.893
"virtue01",25,281,22,0.88
"virtue09",35,377,31,0.886
