Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
6357a3ee24dc57c492fd1e0c,6152108e8c499f49ce051192,APPROVED,2022-10-25T08:53:07.664000Z,2022-10-25T09:26:15.670000Z,2022-10-25T09:26:16.187000Z,2022-10-25T09:26:16.107111Z,1989.0,C1KCG103,185,English,61,Male,White,United States,United States,United States,English,No,Other,
6357a4e5c09cfd51ef8a4aab,616625112409e9e6c32a82a7,APPROVED,2022-10-25T08:57:14.180000Z,2022-10-25T09:15:42.160000Z,2022-10-25T09:15:42.594000Z,2022-10-25T09:15:42.515578Z,1108.0,C1KCG103,56,"English, Italian, Spanish",18,Female,White,United States,United States,United States,Spanish,Yes,Unemployed (and job seeking),
6357a5ff9f0d5361ecebb0fe,5fb8b141a2e5dd63494c80f1,APPROVED,2022-10-25T09:01:54.430000Z,2022-10-25T09:28:44.486000Z,2022-10-25T09:28:45.074000Z,2022-10-25T09:28:45.253334Z,1611.0,C1KCG103,515,English,34,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),
6357b56873a86de055976d16,5dd4074feab0423daf012f92,APPROVED,2022-10-25T10:07:43.886000Z,2022-10-25T10:17:21.596000Z,2022-10-25T10:17:21.993000Z,2022-10-25T10:17:21.920189Z,578.0,C1KCG103,1458,English,25,Female,White,United States,United States,United States,English,No,Part-Time,
6357b60ab7ead37e252ff2f2,6096ee4ed5f41e6e17598ec9,APPROVED,2022-10-25T10:10:18.287000Z,2022-10-25T11:09:47.696000Z,2022-10-25T11:09:48.159000Z,2022-10-25T11:09:48.087787Z,3570.0,C1KCG103,1003,English,39,Male,Other,United States,United States,Mexico,English,No,Part-Time,
6357b712793323e8b6bc19d3,62b333311c9e52e3224b4cb2,APPROVED,2022-10-25T10:14:47.329000Z,2022-10-25T10:39:30.263000Z,2022-10-25T10:39:30.771000Z,2022-10-25T10:39:30.710592Z,1483.0,C1KCG103,551,English,61,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6357b7681aa340e0e0976d56,60cefee15b44bd17785295f1,APPROVED,2022-10-25T10:16:28.974000Z,2022-10-25T10:33:55.315000Z,2022-10-25T10:33:55.790000Z,2022-10-25T10:33:55.713299Z,1047.0,C1KCG103,1103,"English, Korean",66,Male,Asian,Korea,United States,Korea,Korean,DATA_EXPIRED,DATA_EXPIRED,
6357b796793323e8b6bc19dc,627e6dad6595f6c2f2f00a1f,APPROVED,2022-10-25T10:16:54.716000Z,2022-10-25T10:39:35.674000Z,2022-10-25T10:39:36.209000Z,2022-10-25T10:39:36.145174Z,1361.0,C1KCG103,430,"English, Swedish",51,Female,White,Sweden,United States,Sweden,Swedish,No,Full-Time,
6357b7cc54f918e4e3708ffa,558a9729fdf99b6567d005ab,APPROVED,2022-10-25T10:17:51.437000Z,2022-10-25T10:38:55.324000Z,2022-10-25T10:38:56.319000Z,2022-10-25T10:38:55.798984Z,1264.0,C1KCG103,1423,"English, Spanish",39,Female,White,United States,United States,United States,English,No,Part-Time,
6357b8581b63f8ed45537fc4,5b5b715192d8320001510a11,APPROVED,2022-10-25T10:20:11.134000Z,2022-10-25T10:44:09.283000Z,2022-10-25T10:44:09.751000Z,2022-10-25T10:44:09.688605Z,1439.0,C1KCG103,917,English,48,Male,White,United States,United States,United States,English,No,Part-Time,
6357b86bdc7602ab610878c3,5d0ac7504d57690017a355ef,APPROVED,2022-10-25T10:20:30.310000Z,2022-10-25T10:46:22.047000Z,2022-10-25T10:46:22.511000Z,2022-10-25T10:46:22.455537Z,1552.0,C1KCG103,1857,English,38,Male,White,United States,United States,United States,English,No,Full-Time,
6357b89e23412f7ecbd28bc4,5d014ee7ab11d300013fadd8,APPROVED,2022-10-25T10:21:22.732000Z,2022-10-25T11:23:36.708000Z,2022-10-25T11:23:37.206000Z,2022-10-25T11:23:37.121844Z,3734.0,C1KCG103,75,"Spanish, English",21,Male,Other,United States,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED,
6357b8e75c7d57f4c23168c0,59cf062758b71700019882d4,APPROVED,2022-10-25T10:22:33.759000Z,2022-10-25T11:03:04.778000Z,2022-10-25T11:03:05.225000Z,2022-10-25T11:03:05.156912Z,2432.0,C1KCG103,1732,English,29,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6357b903ebb8270cff709033,5d344bd3b0f315001a122275,APPROVED,2022-10-25T10:23:02.922000Z,2022-10-25T10:39:45.525000Z,2022-10-25T10:39:46.025000Z,2022-10-25T10:39:45.962725Z,1003.0,C1KCG103,2922,English,56,Female,White,United States,United States,United States,English,No,Part-Time,
