"technology","entity","index","estimate","ci_lo","ci_hi","threshold","flag"
"NPP","Hedonism","omega",0.95185296654301,NA,NA,NA,NA
"NPP","Hedonism","alpha",0.94742672677121,NA,NA,NA,NA
"NPP","Hedonism","AVE_latent",0.760523939379431,NA,NA,NA,NA
"NPP","Hedonism","AVE_obs",0.760525333049335,NA,NA,NA,NA
"NPP","Utilitarianism","omega",0.969772540179836,NA,NA,NA,NA
"NPP","Utilitarianism","alpha",0.969501670091193,NA,NA,NA,NA
"NPP","Utilitarianism","AVE_latent",0.783153924468071,NA,NA,NA,NA
"NPP","Utilitarianism","AVE_obs",0.783154965952595,NA,NA,NA,NA
"NPP","Contractualism","omega",0.95245027505012,NA,NA,NA,NA
"NPP","Contractualism","alpha",0.950986466471446,NA,NA,NA,NA
"NPP","Contractualism","AVE_latent",0.766783934360171,NA,NA,NA,NA
"NPP","Contractualism","AVE_obs",0.76678363641646,NA,NA,NA,NA
"NPP","Deontology","omega",0.910036191721105,NA,NA,NA,NA
"NPP","Deontology","alpha",0.906278950307091,NA,NA,NA,NA
"NPP","Deontology","AVE_latent",0.6265283518322,NA,NA,NA,NA
"NPP","Deontology","AVE_obs",0.626528404715329,NA,NA,NA,NA
"NPP","Virtue","omega",0.94558170062614,NA,NA,NA,NA
"NPP","Virtue","alpha",0.944650882492053,NA,NA,NA,NA
"NPP","Virtue","AVE_latent",0.715588386066928,NA,NA,NA,NA
"NPP","Virtue","AVE_obs",0.715587660756015,NA,NA,NA,NA
"NPP","Relativism","omega",0.94940600731236,NA,NA,NA,NA
"NPP","Relativism","alpha",0.948317171331156,NA,NA,NA,NA
"NPP","Relativism","AVE_latent",0.791620319332647,NA,NA,NA,NA
"NPP","Relativism","AVE_obs",0.791621178687534,NA,NA,NA,NA
"NPP","Utilitarianism–Hedonism","Fornell_Larcker_pass",1,NA,NA,NA,"pass"
"NPP","Contractualism–Hedonism","Fornell_Larcker_pass",1,NA,NA,NA,"pass"
"NPP","Contractualism–Utilitarianism","Fornell_Larcker_pass",1,NA,NA,NA,"pass"
"NPP","Deontology–Hedonism","Fornell_Larcker_pass",1,NA,NA,NA,"pass"
"NPP","Deontology–Utilitarianism","Fornell_Larcker_pass",0,NA,NA,NA,"fail"
"NPP","Deontology–Contractualism","Fornell_Larcker_pass",0,NA,NA,NA,"fail"
"NPP","Virtue–Hedonism","Fornell_Larcker_pass",1,NA,NA,NA,"pass"
"NPP","Virtue–Utilitarianism","Fornell_Larcker_pass",1,NA,NA,NA,"pass"
"NPP","Virtue–Contractualism","Fornell_Larcker_pass",1,NA,NA,NA,"pass"
