"factor","ECV_SS","ECV_SG","ECV_GS","Omega","OmegaH","H","FD","technology","omega_HS","tech_label"
"Hedonism",0.283425908270028,0.044375021796521,0.716574091729972,0.950080022708831,0.263870528018889,0.633833215469344,0.879731483529622,"NPP",0.686209494689942,"NPP"
"Utilitarianism",0.182287631286458,0.0441053676908618,0.817712368713542,0.970491975226264,0.176224852930582,0.601886284553964,0.82462117845582,"NPP",0.794267122295682,"NPP"
"Contractualism",0.28761891629055,0.045593141319374,0.71238108370945,0.952861022537757,0.271101966080243,0.636007960873154,0.878450484331262,"NPP",0.681759056457514,"NPP"
"Deontology",0.162471895789014,0.0214139202498465,0.837528104210986,0.913749413672427,0.139545788917749,0.419703360363176,0.737665687820933,"NPP",0.774203624754678,"NPP"
"Virtue",0.428594718504839,0.075246209257422,0.571405281495161,0.949063006310682,0.394086412156985,0.787958958200777,0.93317971493047,"NPP",0.554976594153697,"NPP"
"Relativism",0.282626783809676,0.0383223956847957,0.717373216190324,0.950114446636812,0.267771704121316,0.592330123412832,0.862118299813912,"NPP",0.682342742515496,"NPP"
"Hedonism",0.275830995702673,0.039543484684744,0.724169004297327,0.924154900561196,0.24447691722959,0.593579677733884,0.854908626405227,"SR",0.679677983331606,"HM"
"Utilitarianism",0.24331599145592,0.0590050160355997,0.75668400854408,0.966224000649814,0.234806479848196,0.673146466426963,0.858745242878573,"SR",0.731417520801618,"HM"
"Contractualism",0.207845812028867,0.0317156268618198,0.792154187971133,0.937137262602007,0.175371707439245,0.536644575813301,0.83469360570099,"SR",0.761765555162762,"HM"
"Deontology",0.186359185519936,0.0264690226456931,0.813640814480064,0.923143230667558,0.166787070557794,0.466907948517253,0.77075593020755,"SR",0.756356160109764,"HM"
"Virtue",0.512724804401543,0.0926481032031838,0.487275195598458,0.948673995240208,0.479203637346684,0.823689964063037,0.938421807685134,"SR",0.469470357893524,"HM"
"Relativism",0.346687225647122,0.0481247494942206,0.653312774352878,0.947807606964301,0.328187251330556,0.653334018015393,0.887475792040719,"SR",0.619620355633745,"HM"
"Hedonism",0.270938454752449,0.0395568733396219,0.729061545247551,0.931906523373503,0.252293657701943,0.585920393291235,0.839135639764878,"SAI_narrative",0.67961286567156,"SAI"
"Utilitarianism",0.189997518778345,0.0473836827571924,0.810002481221655,0.971877954005508,0.183168473026873,0.617322936141771,0.827804668003517,"SAI_narrative",0.788709480978635,"SAI"
"Contractualism",0.268736871766877,0.0420237747283398,0.731263128233122,0.945990143331177,0.250982791524502,0.606592771454565,0.866750947999803,"SAI_narrative",0.695007351806675,"SAI"
"Deontology",0.166588694880135,0.0221896539682536,0.833411305119865,0.912112966751291,0.146597219180789,0.420193996793965,0.737963344641919,"SAI_narrative",0.765515747570503,"SAI"
"Virtue",0.551384272264637,0.0947448948107332,0.448615727735363,0.941114691990636,0.508694670000549,0.841614601419701,0.943827283269225,"SAI_narrative",0.432420021990087,"SAI"
"Relativism",0.305924339132228,0.0438093067902161,0.694075660867772,0.957829007818655,0.291789468142028,0.630070085028878,0.879569810431794,"SAI_narrative",0.666039539676627,"SAI"
