"technology","comparison","chisq_diff","df_diff","pvalue","cfi_M1","cfi_nested","delta_cfi"
"NPP","M1 vs one-factor (M2)",1205.5860367075,15,1.03271278032324e-247,0.938167487805042,0.69100275725055,-0.247164730554491
"NPP","M1 vs second-order (M3)",20.5303704144,9,0.0149070224533782,0.938167487805042,0.935966934722105,-0.00220055308293654
"NPP","M1 vs merged Util+Deon (M4)",151.0676334532,5,7.91137082817194e-31,0.938167487805042,0.914355391373509,-0.0238120964315331
"SR","M1 vs one-factor (M2)",1024.8576962473,15,6.32408115945992e-209,0.934657604372497,0.675879608687715,-0.258777995684781
"SR","M1 vs second-order (M3)",6.3281608357,9,0.706678143272377,0.934657604372497,0.934260110537117,-0.000397493835379237
"SR","M1 vs merged Util+Deon (M4)",201.0119141011,5,1.72557684832682e-41,0.934657604372497,0.889830767997479,-0.0448268363750175
"SAI_narrative","M1 vs one-factor (M2)",1159.8229227877,15,6.95436176200854e-238,0.941274661851041,0.682191336082981,-0.25908332576806
"SAI_narrative","M1 vs second-order (M3)",22.6832483745,9,0.00694827697148765,0.941274661851041,0.939419109875139,-0.00185555197590137
"SAI_narrative","M1 vs merged Util+Deon (M4)",212.3097972054,5,6.59036236765701e-44,0.941274661851041,0.908069303828399,-0.0332053580226415
"SAI_descriptive","M1 vs one-factor (M2)",2463.8782647558,15,0,0.96025337357478,0.642867675878211,-0.317385697696569
"SAI_descriptive","M1 vs second-order (M3)",27.0523736698,9,0.0013711348631628,0.96025337357478,0.958796947986998,-0.00145642558778214
"SAI_descriptive","M1 vs merged Util+Deon (M4)",591.1936663203,5,1.61637418020381e-125,0.96025337357478,0.902497029475716,-0.0577563440990644
