"technology","model","chisq","df","pvalue","cfi","tli","rmsea","rmsea_lo","rmsea_hi","srmr","aic","bic","converged"
"NPP","M1",1491.98837325454,687,0,0.938167487805042,0.933307290339936,0.0628113619917954,0.0584616636974304,0.0671621494151733,0.0474280555059605,33102.5841455177,33590.1567878396,TRUE
"NPP","M2",4724.78961263522,702,0,0.69100275725055,0.67383624376447,0.138904680318453,0.135162658604475,0.142674661293983,0.0788789550391213,36305.3853848983,36737.5520451383,TRUE
"NPP","M3",1529.63704987483,696,0,0.935966934722105,0.931826865846379,0.0635046694113963,0.0591981726566149,0.0678139524449053,0.0506597427355466,33122.232822138,33576.5618752107,TRUE
"NPP","M4",1806.9945510686,692,0,0.914355391373509,0.908290960993887,0.0736554861967273,0.0695119458058146,0.0778184962707571,0.0567203271897144,33407.5903233317,33876.6943049597,TRUE
"NPP","M4b",2066.959743133,692,0,0.89438702730435,0.886908652070121,0.0817925446083033,0.0777463941543614,0.0858644796699373,0.0516894411022971,33667.5555153961,34136.6594970241,TRUE
"NPP","M5",1346.50158654302,663,0,0.947499092422505,0.941322515060447,0.0589162063562012,0.0543922496312362,0.063429026460209,0.0334393835144966,33005.0973588061,33581.3195724594,TRUE
"SR","M1",1471.73190195327,687,0,0.934657604372497,0.929521520873392,0.0620160442694398,0.0576484448529985,0.0663826207553684,0.046732801941382,33865.3200783544,34352.8927206764,TRUE
"SR","M2",4594.53575253473,702,0,0.675879608687715,0.657872920281477,0.136637379522796,0.132890439453022,0.140412514700811,0.0825938885920041,36958.1239289359,37390.2905891758,TRUE
"SR","M3",1485.50561877917,696,0,0.934260110537117,0.930009686649431,0.0618008955024946,0.0574567186077348,0.0661434752563975,0.0483441097964289,33861.0937951803,34315.4228482531,TRUE
"SR","M4",2015.08144101285,692,0,0.889830767997479,0.882029767465509,0.0802346600568377,0.0761720642657353,0.084322135749799,0.0633016113820091,34398.669617414,34867.773599042,TRUE
"SR","M4b",2037.67342071227,692,0,0.887949598043953,0.880015393281169,0.08091677500675,0.0768614935538442,0.0849973481533798,0.055307693649567,34421.2615971134,34890.3655787414,TRUE
"SR","M5",1319.07165593779,663,0,0.945370777464797,0.938943810107714,0.0577219040917124,0.0531646722094117,0.0622633581543353,0.0330369631849578,33760.659832339,34336.8820459922,TRUE
"SAI_narrative","M1",1422.49983944619,687,0,0.941274661851041,0.936658696407018,0.0600391725091488,0.055624100322335,0.064447320252306,0.0483136819559193,32507.1603343573,32994.7329766793,TRUE
"SAI_narrative","M2",4682.36399028752,702,0,0.682191336082981,0.664535299198702,0.138170272329294,0.134426684125557,0.141941896612511,0.0863825547046612,35737.0244851986,36169.1911454386,TRUE
"SAI_narrative","M3",1454.73952138548,696,0,0.939419109875139,0.935502241979136,0.0605847763016127,0.0562118313826967,0.0649525936892151,0.0515279829997163,32521.4000162966,32975.7290693694,TRUE
"SAI_narrative","M4",1843.37714665653,692,0,0.908069303828399,0.901559760313358,0.0748475399285596,0.070720210266045,0.0789955460660453,0.0642910988405238,32918.0376415677,33387.1416231956,TRUE
"SAI_narrative","M4b",2059.2138617434,692,0,0.890836011040761,0.883106191013301,0.0815618287043329,0.0775133004799033,0.0856360148267584,0.0599770237945635,33133.8743566545,33602.9783382825,TRUE
"SAI_narrative","M5",1300.79529180865,663,0,0.949075795571241,0.94308471269727,0.0569122382110205,0.0523313056417228,0.0614739665977259,0.0327744807219625,32433.4557867198,33009.678000373,TRUE
