"technology","theory","lhs","rhs","op","mi","epc","flagged"
"NPP","contractualist","contractualist02","contractualist05","~~",12.6050846655546,0.177956038259317,TRUE
"NPP","contractualist","contractualist04","contractualist06","~~",8.67945996447772,0.144056001389997,FALSE
"NPP","contractualist","contractualist02","contractualist04","~~",6.31036608615767,-0.11342463810096,FALSE
"NPP","contractualist","contractualist04","contractualist05","~~",6.23332837990578,-0.152034023794445,FALSE
"NPP","contractualist","contractualist03","contractualist06","~~",5.46836339920756,-0.103851181765114,FALSE
"NPP","deontology","deontology06","deontology07","~~",31.2921868198315,0.340336544512557,TRUE
"NPP","deontology","deontology01","deontology03","~~",31.2206950439879,0.401636272943067,TRUE
"NPP","deontology","deontology01","deontology05","~~",25.9991070562556,-0.489372373704415,TRUE
"NPP","deontology","deontology04","deontology05","~~",25.4719903458472,0.3089360045154,TRUE
"NPP","deontology","deontology02","deontology08","~~",13.1963621107139,0.253247184008295,TRUE
"NPP","hedonism","hedonism07","hedonism09","~~",94.7612390613322,0.719470029747947,TRUE
"NPP","hedonism","hedonism05","hedonism09","~~",38.2468220330711,-0.481972568724763,TRUE
"NPP","hedonism","hedonism05","hedonism06","~~",22.9941516411673,0.269298397472492,TRUE
"NPP","hedonism","hedonism04","hedonism09","~~",21.1535267302349,0.304391960539253,TRUE
"NPP","hedonism","hedonism01","hedonism09","~~",14.6022396739724,-0.257141288244156,TRUE
"NPP","relativist","relativist01","relativist03","~~",38.7639833214966,0.331735357686514,TRUE
"NPP","relativist","relativist01","relativist04","~~",20.235465294355,-0.271414306664815,TRUE
"NPP","relativist","relativist03","relativist05","~~",13.9388889919706,-0.195970177287924,TRUE
"NPP","relativist","relativist02","relativist04","~~",10.8726367143722,0.207567047571815,TRUE
"NPP","relativist","relativist04","relativist05","~~",7.39524143316695,0.162298199026614,FALSE
"NPP","utilitarian","utilitarian05","utilitarian06","~~",19.6252525293459,0.150632237272534,TRUE
"NPP","utilitarian","utilitarian01","utilitarian02","~~",16.4476058262569,0.189286300490593,TRUE
"NPP","utilitarian","utilitarian01","utilitarian04","~~",9.08316550777454,-0.132121780661015,FALSE
"NPP","utilitarian","utilitarian01","utilitarian08","~~",7.9512803006424,0.179276256359616,FALSE
"NPP","utilitarian","utilitarian02","utilitarian06","~~",7.61157808150188,-0.09489882314375,FALSE
"NPP","virtue","virtue01","virtue09","~~",31.533617783109,0.200526627146971,TRUE
"NPP","virtue","virtue07","virtue08","~~",24.6978179434006,0.392379889545105,TRUE
"NPP","virtue","virtue07","virtue09","~~",20.0143365985401,-0.25026484728965,TRUE
"NPP","virtue","virtue04","virtue09","~~",16.9019094325319,-0.198517351762532,TRUE
"NPP","virtue","virtue01","virtue08","~~",16.7047499636048,-0.19506710865076,TRUE
"HM","contractualist","contractualist03","contractualist04","~~",56.4944613828473,0.527892739262286,TRUE
"HM","contractualist","contractualist02","contractualist06","~~",17.6435965222003,0.240408164075729,TRUE
"HM","contractualist","contractualist02","contractualist04","~~",16.8684196934316,-0.265396903818167,TRUE
"HM","contractualist","contractualist02","contractualist03","~~",11.7078740879573,-0.181124105204203,TRUE
"HM","contractualist","contractualist05","contractualist06","~~",6.13755399135151,-0.16982893544673,FALSE
"HM","deontology","deontology06","deontology07","~~",45.3424428058616,0.401113701869739,TRUE
"HM","deontology","deontology04","deontology05","~~",18.9852956841665,0.273661449401252,TRUE
"HM","deontology","deontology04","deontology07","~~",11.8570302581057,-0.17252219744943,TRUE
"HM","deontology","deontology05","deontology07","~~",10.2572718613445,-0.237335262441925,TRUE
"HM","deontology","deontology01","deontology03","~~",9.95160029781261,0.255104097412712,FALSE
"HM","hedonism","hedonism01","hedonism05","~~",35.040164932711,0.422367278432972,TRUE
"HM","hedonism","hedonism07","hedonism09","~~",25.9214147980406,0.332190767787805,TRUE
"HM","hedonism","hedonism04","hedonism05","~~",17.5648534689886,-0.29091383918159,TRUE
"HM","hedonism","hedonism06","hedonism09","~~",10.578362831236,-0.210071234594053,TRUE
"HM","hedonism","hedonism01","hedonism08","~~",8.21023557004616,-0.216915892894524,FALSE
"HM","relativist","relativist03","relativist04","~~",18.4241666310469,0.289176843342505,TRUE
"HM","relativist","relativist01","relativist04","~~",12.7121134565027,-0.241816193818842,TRUE
"HM","relativist","relativist02","relativist03","~~",9.56347568584016,-0.181239407228256,FALSE
"HM","relativist","relativist01","relativist05","~~",6.12521764895805,0.135728602955581,FALSE
"HM","relativist","relativist04","relativist05","~~",5.45593496208588,-0.141402233244034,FALSE
"HM","utilitarian","utilitarian01","utilitarian08","~~",26.1670163470348,0.318025874498126,TRUE
"HM","utilitarian","utilitarian04","utilitarian09","~~",14.3406967795,0.144546581751135,TRUE
"HM","utilitarian","utilitarian02","utilitarian08","~~",13.859616536836,0.181185564088423,TRUE
"HM","utilitarian","utilitarian05","utilitarian06","~~",10.723701190413,0.138302823366268,TRUE
"HM","utilitarian","utilitarian01","utilitarian02","~~",6.82245597884795,0.120078937024806,FALSE
"HM","virtue","virtue06","virtue07","~~",32.1537563509808,-0.460251928388483,TRUE
"HM","virtue","virtue07","virtue08","~~",25.4759639144647,0.413619371215421,TRUE
"HM","virtue","virtue08","virtue09","~~",13.4869814670918,-0.195521772772754,TRUE
"HM","virtue","virtue05","virtue06","~~",11.4133941894745,0.18665001246758,TRUE
"HM","virtue","virtue01","virtue02","~~",10.0405372268273,0.114958727061,TRUE
"SAI","contractualist","contractualist04","contractualist06","~~",5.66165384986124,0.119744581823229,FALSE
"SAI","contractualist","contractualist01","contractualist06","~~",4.96315787384106,-0.0934415682511118,FALSE
"SAI","contractualist","contractualist01","contractualist04","~~",4.74873430654171,-0.0992082032630863,FALSE
"SAI","contractualist","contractualist02","contractualist03","~~",4.45089837571182,-0.0827199914434369,FALSE
"SAI","contractualist","contractualist01","contractualist02","~~",3.77441965964691,0.0772846941887017,FALSE
"SAI","deontology","deontology06","deontology07","~~",56.5653339320851,0.45449044715678,TRUE
"SAI","deontology","deontology01","deontology03","~~",18.6289506985106,0.330422259287067,TRUE
"SAI","deontology","deontology02","deontology08","~~",12.4173694148356,0.249557168327343,TRUE
"SAI","deontology","deontology04","deontology06","~~",10.9342659887599,-0.167431413547638,TRUE
"SAI","deontology","deontology04","deontology05","~~",9.71791509080994,0.18585983490497,FALSE
"SAI","hedonism","hedonism07","hedonism09","~~",47.7661116025009,0.305547899676189,TRUE
"SAI","hedonism","hedonism05","hedonism08","~~",28.2900407107721,0.36615707247205,TRUE
"SAI","hedonism","hedonism02","hedonism04","~~",18.8996627062559,0.305776525737742,TRUE
"SAI","hedonism","hedonism01","hedonism07","~~",16.1520058373561,-0.202877778978126,TRUE
"SAI","hedonism","hedonism05","hedonism09","~~",11.8493350448682,-0.192050927738114,TRUE
"SAI","relativist","relativist01","relativist03","~~",21.9920694097125,0.204381710590893,TRUE
"SAI","relativist","relativist01","relativist04","~~",21.9018494651078,-0.217835835897487,TRUE
"SAI","relativist","relativist02","relativist03","~~",12.5292172463794,-0.14257022179431,TRUE
"SAI","relativist","relativist02","relativist04","~~",8.6258949512074,0.13143347650153,FALSE
"SAI","relativist","relativist04","relativist05","~~",1.95012975925888,0.0649347880875161,FALSE
"SAI","utilitarian","utilitarian01","utilitarian03","~~",15.9395743934542,-0.144978418186451,TRUE
"SAI","utilitarian","utilitarian02","utilitarian05","~~",11.3862733563757,0.103660488448907,TRUE
"SAI","utilitarian","utilitarian04","utilitarian09","~~",8.04882245472074,0.110031650184978,FALSE
"SAI","utilitarian","utilitarian02","utilitarian09","~~",7.83838293745522,-0.109092528187847,FALSE
"SAI","utilitarian","utilitarian04","utilitarian05","~~",7.42826025779533,-0.0836905771577714,FALSE
"SAI","virtue","virtue02","virtue09","~~",40.6072425371068,0.242892389061489,TRUE
"SAI","virtue","virtue01","virtue02","~~",33.9245404156563,0.237762463899769,TRUE
"SAI","virtue","virtue01","virtue09","~~",28.2501589985358,0.227248906161015,TRUE
"SAI","virtue","virtue08","virtue09","~~",25.6971634211644,-0.261791909583136,TRUE
"SAI","virtue","virtue07","virtue08","~~",24.3292483318324,0.356054043844911,TRUE
