"technology","theory","item_i","item_j","residual_r","source"
"NPP","contractualist","contractualist02","contractualist05",0.177956038259317,"modification_index"
"NPP","deontology","deontology06","deontology07",0.340336544512557,"modification_index"
"NPP","deontology","deontology01","deontology03",0.401636272943067,"modification_index"
"NPP","deontology","deontology01","deontology05",-0.489372373704415,"modification_index"
"NPP","deontology","deontology04","deontology05",0.3089360045154,"modification_index"
"NPP","deontology","deontology02","deontology08",0.253247184008295,"modification_index"
"NPP","hedonism","hedonism07","hedonism09",0.719470029747947,"modification_index"
"NPP","hedonism","hedonism05","hedonism09",-0.481972568724763,"modification_index"
"NPP","hedonism","hedonism05","hedonism06",0.269298397472492,"modification_index"
"NPP","hedonism","hedonism04","hedonism09",0.304391960539253,"modification_index"
"NPP","hedonism","hedonism01","hedonism09",-0.257141288244156,"modification_index"
"NPP","hedonism","hedonism01","hedonism05",0.222532505247823,"modification_index"
"NPP","hedonism","hedonism07","hedonism08",-0.239276498123168,"modification_index"
"NPP","hedonism","hedonism02","hedonism05",-0.376545729950595,"modification_index"
"NPP","relativist","relativist01","relativist03",0.331735357686514,"modification_index"
"NPP","relativist","relativist01","relativist04",-0.271414306664815,"modification_index"
"NPP","relativist","relativist03","relativist05",-0.195970177287924,"modification_index"
"NPP","relativist","relativist02","relativist04",0.207567047571815,"modification_index"
"NPP","utilitarian","utilitarian05","utilitarian06",0.150632237272534,"modification_index"
"NPP","utilitarian","utilitarian01","utilitarian02",0.189286300490593,"modification_index"
"NPP","virtue","virtue01","virtue09",0.200526627146971,"modification_index"
"NPP","virtue","virtue07","virtue08",0.392379889545105,"modification_index"
"NPP","virtue","virtue07","virtue09",-0.25026484728965,"modification_index"
"NPP","virtue","virtue04","virtue09",-0.198517351762532,"modification_index"
"NPP","virtue","virtue01","virtue08",-0.19506710865076,"modification_index"
"NPP","virtue","virtue04","virtue05",0.232353157357968,"modification_index"
"NPP","virtue","virtue01","virtue04",-0.176045743881345,"modification_index"
"NPP","virtue","virtue04","virtue07",0.291625558011046,"modification_index"
"NPP","virtue","virtue05","virtue09",-0.147357229081926,"modification_index"
"NPP","virtue","virtue06","virtue09",0.180683694696309,"modification_index"
"NPP","virtue","virtue04","virtue08",0.232533776605186,"modification_index"
"HM","contractualist","contractualist03","contractualist04",0.527892739262286,"modification_index"
"HM","contractualist","contractualist02","contractualist06",0.240408164075729,"modification_index"
"HM","contractualist","contractualist02","contractualist04",-0.265396903818167,"modification_index"
