"technology","model","chisq","df","pvalue","cfi","tli","rmsea","rmsea_lo","rmsea_hi","srmr","converged"
"NPP","uni_contractualist",29.8330666476453,9,0.000468351838684544,0.988233164942721,0.980388608237868,0.088283008021317,0.0544375261552784,0.124352572147491,0.0150479629879343,TRUE
"NPP","uni_deontology",118.665143945019,20,5.55111512312578e-16,0.938616134096514,0.91406258773512,0.128880927966234,0.107035893873362,0.151750729147238,0.0385208169031812,TRUE
"NPP","uni_hedonism",229.188969638255,27,0,0.9183179629152,0.891090617220266,0.158788345213573,0.140172929026901,0.178077966018376,0.040291936716615,TRUE
"NPP","uni_relativist",55.7153334824049,5,9.30074905980405e-11,0.96571936111042,0.93143872222084,0.18480189316885,0.142923031243793,0.229990991650766,0.0209014991242016,TRUE
"NPP","uni_utilitarian",85.9748701962077,27,4.55312805236474e-08,0.981364423792337,0.97515256505645,0.0857577523802039,0.0657717813485623,0.10645394523004,0.0157573705933365,TRUE
"NPP","uni_virtue",148.533216373486,27,0,0.947637813296238,0.930183751061651,0.123108315561763,0.104159045948428,0.14282872045861,0.036255105553435,TRUE
"HM","uni_contractualist",73.4800358369296,9,3.15170112230589e-12,0.955247521617851,0.925412536029751,0.155314912272325,0.12354729521663,0.189152645823114,0.0308105149053624,TRUE
"HM","uni_deontology",110.5231927733,20,1.57651669496772e-14,0.942539612354649,0.919555457296509,0.123448753509219,0.101521985202898,0.146417933250021,0.0410906570693617,TRUE
"HM","uni_hedonism",126.428928909453,27,8.21565038222616e-15,0.948038070156062,0.930717426874749,0.111351551805393,0.0922002219693762,0.131293404870629,0.0331825989033306,TRUE
"HM","uni_relativist",35.829735499495,5,1.02727837891781e-06,0.978611115371783,0.957222230743566,0.144085962696317,0.101967122327986,0.190159578577376,0.0172332303574622,TRUE
"HM","uni_utilitarian",89.206691507025,27,1.4156210648153e-08,0.979026455779521,0.972035274372695,0.0880761748913537,0.0682024234428714,0.108681918655238,0.0208150233585119,TRUE
"HM","uni_virtue",138.059438332472,27,1.11022302462516e-16,0.951152622092468,0.934870162789958,0.117684056442874,0.0986502612426542,0.137499764723338,0.0379047136794393,TRUE
"SAI","uni_contractualist",19.1983659560236,9,0.0235580771831115,0.9939365765452,0.989894294242,0.061768323877628,0.0216639408384348,0.10022524437255,0.0110155315012391,TRUE
"SAI","uni_deontology",95.0608587780616,20,9.53837009376457e-12,0.955168833531022,0.937236366943431,0.112412224476677,0.090272664898607,0.135620345896781,0.0313459585215052,TRUE
"SAI","uni_hedonism",137.174069727212,27,1.11022302462516e-16,0.947569492923864,0.930092657231819,0.117214027685349,0.0981722214923595,0.137038516921723,0.0369332665151532,TRUE
"SAI","uni_relativist",37.9906755810833,5,3.78954799873377e-07,0.979639974982008,0.959279949964016,0.149050136371104,0.1069843594622,0.194986881539149,0.0147862016596815,TRUE
"SAI","uni_utilitarian",80.1535955685571,27,3.57926561944666e-07,0.983447896101801,0.977930528135735,0.0814153355395942,0.0611877588975448,0.10229744959918,0.0148060811817382,TRUE
"SAI","uni_virtue",205.902377086253,27,0,0.919268376298049,0.892357835064065,0.149364692393697,0.130687404236566,0.168742980226918,0.0434999743232962,TRUE
