key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id
rayyan-800531161,"Roles of religiosity in enhancing life satisfaction, ethical judgements        and consumer loyalty",2022,12,31,COGENT BUSINESS & MANAGEMENT,2331-1975,9,1,,"Dinh, HP and Nguyen, PV and Trinh, TVA and Nguyen, MH and Ho Phi Dinh and Phuong Van Nguyen and Thi Vu Anh Trinh and Mai Huong Nguyen",,English,TAYLOR & FRANCIS AS,"KARL JOHANS GATE 5, NO-0154 OSLO, NORWAY","Previous research concerning religiosity and consumer behaviors highlights that consumers are possibly affected by religion in areas such as life satisfaction, faith, ethics, and materialism. Analysis, however, has yet to develop a systematic framework that examines the effects of particular religious commitments on consumer behaviors, such as life satisfaction, ethical decisions, and intentions of loyalty, which is the main incentive for us to conduct this research. This study which takes into account Catholic affiliation in the Vietnamese context intends to develop the literature on the relationship between religiosity and consumer behaviors. Specifically, aiming to explore potential mediators in the interrelationship between religious commitments and customer loyalty intentions at convenience stores, the research incorporates ethical judgements and life satisfaction. The Structural Equation Modeling method is utilized to analyze the surveyed data from 388 Catholics for hypothesis testing. According to the tested results, satisfaction with life plays a significant mediating role in the relationship between religious commitments and customer loyalty. On the other hand, ethical judgements serve as an important mediator that considerably enhances the impact of intrinsic religiosity on consumer loyalty. The findings also provide an insightful view of the sociology of religion regarding business enterprises.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531162,Ethical judgments of sexualized ads featuring Women: The role of        identification with feminine archetypes,2022,3,,JOURNAL OF BUSINESS RESEARCH,0148-2963,142,,899-913,"de Kerviler, G and Ardelet, C and Slavich, B and de Kerviler, Gwarlann and Ardelet, Caroline and Slavich, Barbara",,English,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Women may react differently to sexualized ads featuring women. Notably, while some women may regard a sexual imagery as empowering, others may perceive it as a sign of objectification. Accurate predictions of women's reactions to sexualized ads remain limited. Four studies, conducted in the United States and France, reveal that identification with feminine archetypes affects ethical judgment of sexualized ads through differences in perceived male dominance. Results show that women with high self-esteem as well as women preferring intense make-up have a less negative ethical judgment towards perceived male dominance. Findings contribute to research by highlighting the importance of the archetypes framework for segmenting an advertising audience and for determining ethical judgment. This research highlights the role played by perceived male dominance, self-esteem and make-up preference in the relationship between identification to archetypes and ethical judgment. Finally, it provides new guidelines to define relevant targets for advertising campaign.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531163,"Ad eroticism from a psychological distance perspective: Investigating        its effects in light of consumers' sex, ethical judgments, and moral        attentiveness",2022,3,,JOURNAL OF BUSINESS RESEARCH,0148-2963,142,,524-539,"Theodorakis, IG and Painesis, G and Theodorakis, Ioannis G. and Painesis, Grigorios",,English,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Building on construal level theory and psychological distance, this paper considers the impact of erotic appeal ads in terms of consumer reactions; the demographic and ethically related psychographic factors of sex and moral attentiveness are also examined. Two experiments delve into different psychological distance types, evoking variant construal levels while promoting a different product category across different levels of erotic intensity in the ad. Findings indicate that as the psychological distance or construal level decreases, reactions become more unfavorable, regardless of the ad's level of erotic intensity. Furthermore, reactions vary depending on sex and moral attentiveness; women and individuals with high moral attentiveness levels (MALs) express stronger objections. Finally, across the levels of erotic intensity, ethical judgments systematically mediate the ads' effects on attitudes and behaviors, and this mediation effect is intensified when viewers act under a low construal or psychological distance level and when erotic intensity level increases.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531164,Ethical-decision making of 'Flights to Nowhere' passengers in the        COVID-19 and climate change era,,,,CURRENT ISSUES IN TOURISM,1368-3500,,,,"Pratt, S and Tolkach, D and Pratt, Stephen and Tolkach, Denis",,English,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND","With international travel halting as a result of the outbreak of COVID-19, several airlines sought to offer Flights to Nowhere as a way to generate revenue and keep their aircrafts flight-ready. Flights to Nowhere are sightseeing flights that start and finish at the same airport without landing elsewhere. These flights have been heavily criticized for creating unnecessary greenhouse gas emissions. This research explores the ethical decision-making process and the subsequent rationalization of taking Flights to Nowhere. Using cognitive dissonance theory and neutralization techniques, we analyse in-depth interviews with passengers that have recently taken a Flight to Nowhere. Passengers did not immediately make the connection between Flights to Nowhere and climate change but on reflection, they justified these flights using a range of neutralization techniques including an appeal to higher loyalties, denial of injury, and justification by comparison.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531165,Comparison of Philosophical Dialogue with a Robot and with a Human,2022,2,,APPLIED SCIENCES-BASEL,,12,3,,"Someya, Y and Iio, T and Someya, Yurina and Iio, Takamasa",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Philosophical dialogue is an effective way to deepen one's thoughts, but it is not easy to practice it because humans have emotions. We proposed the use of a robot in practicing philosophical dialogue and experimentally investigated how philosophical dialogue with a robot differs from philosophical dialogue with a human. The results of the experiment showed that (1) participants talking to a human spend more time answering than those talking to a robot, (2) the increase in the time participants spend answering comes from the increase in the time participants spend speaking and is not influenced by reaction latency and pause time so much, (3) the reason for the increase in the time spent speaking is that some participants who talked to a human were likely to choose their words so as not to make the interlocutor uncomfortable and rephrased their thoughts so that they were easier for the interlocutor to understand, and some participants who talked to a robot might have thought that the robot would not be concerned even if they give a brief answer, and finally (4) it seems there is no significant difference in the depth of thought between participants talking to a human and participants talking to a robot. These results suggest the effectiveness of using robots for philosophical dialogue, in particular for people who feel nervous about talking to others.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531166,Ethical Orientation and Research Misconduct Among Business Researchers        Under the Condition of Autonomy and Competition,,,,JOURNAL OF BUSINESS ETHICS,0167-4544,,,,"Fink, M and Gartner, J and Harms, R and Hatak, I and Fink, Matthias and Gartner, Johannes and Harms, Rainer and Hatak, Isabella",,English,SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","The topics of ethical conduct and governance in academic research in the business field have attracted scientific and public attention. The concern is that research misconduct in organizations such as business schools and universities might result in practitioners, policymakers, and researchers grounding their decisions on biased research results. This study addresses ethical research misconduct by investigating whether the ethical orientation of business researchers is related to the likelihood of research misconduct, such as selective reporting of research findings. We distinguish between deontological and consequentialist ethical orientations and the competition between researchers and investigate the moderating role of their perceived autonomy. Based on global data collected from 1031 business scholars, we find that researchers with a strong deontological ethical orientation are less prone to misconduct. This effect is robust against different levels of perceived autonomy and competition. In contrast, researchers having a consequentialist ethical orientation is positively associated with misconduct in business research. High levels of competition in the research environment reinforce this effect. Our results reveal a potentially toxic combination comprising researchers with a strong consequentialist orientation who are embedded in highly competitive research environments. Our research calls for the development of ethical orientations grounded on maxims rather than anticipated consequences among researchers. We conclude that measures for ethical governance in business schools should consider the ethical orientation that underlies researchers' decision-making and the organizational and institutional environment in which business researchers are embedded.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531167,Artificial intelligence ELSI score for science and technology: a        comparison between Japan and the US,,,,AI & SOCIETY,0951-5666,,,,"Hartwig, T and Ikkatai, Y and Takanashi, N and Yokoyama, HM and Hartwig, Tilman and Ikkatai, Yuko and Takanashi, Naohiro and Yokoyama, Hiromi M.",,English,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES","Artificial intelligence (AI) has become indispensable in our lives. The development of a quantitative scale for AI ethics is necessary for a better understanding of public attitudes toward AI research ethics and to advance the discussion on using AI within society. For this study, we developed an AI ethics scale based on AI-specific scenarios. We investigated public attitudes toward AI ethics in Japan and the US using online questionnaires. We designed a test set using four dilemma scenarios and questionnaire items based on a theoretical framework for ethics, legal, and social issues (ELSI). We found that country and age are the most informative sociodemographic categories for predicting attitudes for AI ethics. Our proposed scale, which consists of 13 questions, can be reduced to only three, covering ethics, tradition, and policies. This new AI ethics scale will help to quantify how AI research is accepted in society and which area of ELSI people are most concerned with.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531168,What Counts as Discrimination? How Principles of Merit Shape Fairness of        Demographic Decisions,,,,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,0022-3514,,,,"Shakur, TKT and Phillips, LT and Shakur, Teodora K. Tomova and Phillips, L. Taylor",,English,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, DC 20002-4242 USA","Demographic attributes (e.g., age, disability, race) frequently affect people's decisions. We provide a novel perspective as to why such discrimination persists: Meritocratic principles lead people to perceive some demographic attributes as fair to use, rather than as discriminatory. Specifically, we theorize that meritocracy requires that controllable and relevant inputs determine outcomes; as a result, perceived controllability and relevance affect the degree to which demographic attributes are perceived as fair to use. Moreover, we suggest perceived relevance outweighs controllability, such that even uncontrollable attributes can be perceived as fair criteria if perceived to be outcome relevant. In two qualitative studies, we probed how people think about demographic attributes used in selection (Studies 1a-b). We find that people refer to controllability and relevance dimensions to justify their perceptions. Further, people largely associate uncontrollable, irrelevant attributes with discrimination (race, sex), neglecting attributes they perceive as controllable and/or relevant (disability, caregiving status). Next, three surveys (Studies 2a-c) support our theorizing that perceived relevance impacts fairness perceptions more strongly than perceived controllability. In three experiments (Studies 3a-c), we provide causal evidence that relevance and controllability shape perceived fairness, which in turn affects selection behaviors, including seeking information regarding demographic attributes during hiring. Finally, Study 4 demonstrates downstream consequences: Perceived controllability, relevance, and use of demographic attributes together impact employees' psychological safety and job satisfaction. Overall, we find that principles of merit lead people to believe that even some legally protected demographic attributes are fair to use, allowing discrimination to persist.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531169,Ethical Attitudes toward COVID-19 Passports: Evidences from Spain,2021,12,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,,18,24,,"Arias-Oliva, M and Pelegrin-Borondo, J and Almahameed, AA and de Andres-Sanchez, J and Arias-Oliva, Mario and Pelegrin-Borondo, Jorge and Almahameed, Ala Ali and de Andres-Sanchez, Jorge",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","A so-called COVID-19 passport or Immunity passport (IP) has been proposed to facilitate the mobility of individuals while the SARS-CoV-2 pandemic persists. A COVID-19 passport can play a key role in the control of the pandemic, specifically in areas with a high density of population, and the help of smart city technology could be very useful to successfully implement IPs. This research studies the impact of ethical judgments on user attitudes toward using vaccine passports based on a Multidimensional Ethics Scale (MES) that contains five ethical constructs: moral equity, relativism, egoism, utilitarianism, and contractualism. Regression analysis shows that MES satisfactorily explains attitude (R-2 = 87.82%, p < 0.001) and that a positive evaluation in moral equity, egoism and utilitarianism is significant (p < 0.001). The objective of the passport (variable leisure) shows a significant negative moderating effect on moral equity (coefficient = -0.147, p = 0.0302) and a positive one on relativism (coefficient = 0.158, p = 0.0287). Adjustment by means of fsQCA shows that five ethical constructs satisfactorily explain both favorable and unfavorable attitudes toward IPs. Solutions explaining acceptance attain an overall consistency (cons) = 0.871 and coverage (cov) = 0.980. In the case of resistance, we found that cons = 0.979 and cov = 0.775. However, that influence is asymmetrical. To have a positive attitude toward the passport, it is a sufficient condition to attain a positive evaluation on a single ethical factor. On the other hand, when explaining resistance, and with the exception of the recipe ~utilitarianism (cons = 0.911 and cov = 0.859), explanatory prime implications require the interaction of at least two variables. Likewise, the context in which the passport is required is significant to explain rejection.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531170,"The Role of Religiosity, Ethnicity and Gender Identification in        Individual's Moral Judgments; The Mediation Effect of Self-transcendence",2021,12,,PERTANIKA JOURNAL OF SOCIAL SCIENCE AND HUMANITIES,0128-7702,29,4,2815-2832,"Chin, JH and Mansori, S and Rezaee, Z and Homayoun, S and Chin, Jing Huey and Mansori, Shaheen and Rezaee, Zabihollah and Homayoun, Saeid",,English,UNIV PUTRA MALAYSIA PRESS,"SERDANG, SELANGOR, 00000, MALAYSIA","Most recently, corporate financial scandals, and unethical behaviour cast doubt on investors and raised public concern globally. It is due to the weak corporate governance structure and low ethic awareness amongst the people. The purpose of this research is therefore to justify the factors that influence an individual's moral judgement. This study also seeks to provide practical recommendations to corporations and different associations. As such, to evaluate the proposed hypotheses, 300 self-administered questionnaires were distributed in five universities in Malaysia using a non-probability sampling approach. As a result, the findings demonstrate that ethnicity has the highest impact on self-transcendence and moral judgement, followed by religiosity and gender identification (gender difference). The contribution of this research is to evaluate the relationships between religiosity, ethnicity, and gender identification towards moral judgement with the intervention of mediating variable (self-transcendence). In essence, ethical values and moral obligations should be highlighted in corporations, and these values should be practised and embraced into the organisational culture. Thus, organisational decision-akers should highly emphasise the role of ethicality and morality in corporations because ethical competence aligns with an employee's responsibility as a whole.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
